KOST_ID,FUNCTION,FR_STATUS,SOURCE_REFERENCE,FULL_TEXT_RECOVERABLE,CORRECT_ANSWER_RECOVERABLE,IMPORT_ELIGIBLE,BLOCKER
Q-7.1-019,7.1,FROZEN FR / SOURCE VERIFIED,"§7.1.3.2 Qualité (Partie 7 — Marquage et Étiquetage, Bookshelf p.688 area), sub-task 0.5.1 Marquage",YES,YES,YES,
Q-7.2-001,7.2,FROZEN FR / SOURCE VERIFIED,"Tier B — KOST Function 7.2 course, slides 20–23 (""Cadre juridique — Fondements de la Réglementation DGR 1.1""). Topic-level (not text-level) cross-refe",YES,YES,YES,
Q-7.2-002,7.2,FR SOURCE GAP CONFIRMED,"Tier B — KOST Function 7.2 course, slides 32–33 (""Faire la distinction entre un danger et un risque""). Cross-referenced by KOST practice book Q3, whic",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.2-003,7.2,PARTIALLY CONFIRMED,"Tier B — KOST Function 7.2 course, slides 41–43 (""Comment reconnaître les marchandises dangereuses cachées ?""). Directly corroborated by KOST practice",YES,YES,NO,"status is PARTIALLY CONFIRMED, not FROZEN"
Q-7.2-004,7.2,FROZEN FR / SOURCE VERIFIED,§3.0.2,YES,YES,YES,
Q-7.2-005,7.2,FROZEN FR / SOURCE VERIFIED,§7.2.2.2,YES,YES,YES,
Q-7.2-006,7.2,PARTIALLY CONFIRMED,"§9.1.1.1(b), §9.1.1.2, §2.2, §9.1.1",YES,YES,NO,"status is PARTIALLY CONFIRMED, not FROZEN"
Q-7.2-007,7.2,FROZEN FR / SOURCE VERIFIED,"§9.1.1.2, §9.1.7",YES,YES,YES,
Q-7.2-008,7.2,FR SOURCE GAP CONFIRMED,"Tier B — KOST Function 7.2 course, slides 98–100 (""inspection physique des colis"", ""Séparation et isolement"", ""Actions en cas de détection""). Directly",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.2-009,7.2,FROZEN FR / SOURCE VERIFIED,§9.6.2.1,YES,YES,YES,
Q-7.2-010,7.2,FROZEN FR / SOURCE VERIFIED,"§9.6.4, §9.6.5, §9.6",YES,YES,YES,
Q-7.2-011,7.2,FROZEN FR / SOURCE VERIFIED,"§9.6.1, §4.4",YES,YES,YES,
Q-7.2-012,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 16, with slide 15 read alongside for the contrasting definition. Loosely corroborated by Exam Q1 (""Quelle est",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-013,7.2,FROZEN FR / SOURCE VERIFIED,§1.2.1,YES,YES,YES,
Q-7.2-014,7.2,FROZEN FR / SOURCE VERIFIED,§2.1.1,YES,YES,YES,
Q-7.2-015,7.2,FROZEN FR / SOURCE VERIFIED,§2.3.0.1,YES,YES,YES,
Q-7.2-016,7.2,FROZEN FR / SOURCE VERIFIED,§1.4.1,YES,YES,YES,
Q-7.2-017,7.2,FROZEN FR / SOURCE VERIFIED,"§2.8.3.1, §2.8.3.0",YES,YES,YES,
Q-7.2-018,7.2,FROZEN FR / SOURCE VERIFIED,"§3.0.3.1, §3.0.2.",YES,YES,YES,
Q-7.2-019,7.2,FROZEN FR / SOURCE VERIFIED,§7.1.3.2,YES,YES,YES,
Q-7.2-020,7.2,FROZEN FR / SOURCE VERIFIED,"Tier B — KOST Function 7.2 course, slides 86 and 107–108 (""Lettre de transport aérien (LTA) — DGR 8.2"" / ""Vérifier la lettre du transport LTA"", both s",YES,YES,YES,
Q-7.2-021,7.2,FR SOURCE GAP CONFIRMED,"Tier B — KOST Function 7.2 course, slides 87–89 (""Information sur l'intervention d'urgence DGR 9.5.1.2""; ""Procédures d'urgence générales"", two slides:",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.2-022,7.2,FR SOURCE GAP CONFIRMED,"Tier B — KOST Function 7.2 course, slide 87 (""Information sur l'intervention d'urgence — DGR 9.5.1.2""). This is a distinct clause from the same slide'",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.2-023,7.2,PARTIALLY CONFIRMED,"§9.1.1.2, §9.1.7, §9.1.1",YES,YES,NO,"status is PARTIALLY CONFIRMED, not FROZEN"
Q-7.2-024,7.2,FROZEN FR / SOURCE VERIFIED,§9.1.7,YES,YES,YES,
Q-7.2-025,7.2,FROZEN FR / SOURCE VERIFIED,"§9.6.1, §9.6.4",YES,YES,YES,
Q-7.2-026,7.2,FROZEN FR / SOURCE VERIFIED,"§2.2.4, §3.0.2",YES,YES,YES,
Q-7.2-027,7.2,FROZEN FR / SOURCE VERIFIED,§3.0.2.2,YES,YES,YES,
Q-7.2-028,7.2,PARTIALLY CONFIRMED,§9.1.7,YES,YES,NO,"status is PARTIALLY CONFIRMED, not FROZEN"
Q-7.2-029,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slides 13–14 (""Généralités"" — Qu'est-ce que l'Article? / Qu'est-ce que la Substance?). No direct exam/practice-book",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-030,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 26 (""Base Réglementaire — DGR de l'IATA""). Note: this slide's own text displays ""66ᵉ édition"" for the manual ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-031,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 34 (flammable- liquid worked example, immediately following the ""Faire la distinction entre un danger et un r",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-032,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 38. No direct exam/practice-book hit found for this specific ""why they don't declare"" fact (Practice Q6 tests",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-033,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 41 (""Exemples de DG cachées DGR 2.2.4"" — COMAT), a different slide/fact from `Q-7.2-026`'s source (slide 40, ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-034,7.2,FROZEN FR / SOURCE VERIFIED,"§3.9.2.6.0, §9.3.2.1.3",YES,YES,YES,
Q-7.2-035,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 48 (""Responsabilités de l'expéditeur — Conformité DGR 1.3.1""), a different slide/fact from `Q-7.2-016`'s sour",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-036,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 52 (""Formation DGR 1.5""), a different slide/fact from `Q-7.2-013`'s source (slide 31, DGR applicability), whi",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-037,7.2,PARTIALLY CONFIRMED,"§2.8.1, §2.8.1.1.2",YES,YES,NO,"status is PARTIALLY CONFIRMED, not FROZEN"
Q-7.2-038,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 57 (""Les niveaux de restrictions""), a different slide/fact from `Q-7.2-017`'s source (slide 56) and `Q-7.2-03",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-039,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slides 59–60 (Class 1 division sub-series, first appearing in this pass — slides 58–68 were previously drawn from o",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-040,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 65. **Directly and strongly corroborated by the course's own in-class exercise (slide 70)**: ""Quelle classe c",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-041,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 80 (""Les étiquettes de danger""), a different slide/fact from `Q-7.2-005`'s source (slide 79, the ""two types o",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-042,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 83 (""Autre étiquetage"" — matières biologiques Catégorie B / UN 3245, matières dangereuses pour l'environnemen",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-043,7.2,FROZEN FR / SOURCE VERIFIED,"Tier B — KOST Function 7.2 course, slide 85 (""Identifier la documentation requise DGR 8.0.1""), a different slide/fact from `Q-7.2-020`'s source (slide",YES,YES,YES,
Q-7.2-044,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 109. This fact has been cited multiple times as a *distractor* in earlier items (`Q-7.2-006`, `Q-7.2-007`, `Q",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-045,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 89, a different slide/fact from `Q-7.2-021`'s source (slide 88, the ""first action"" fact — this item deliberat",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-046,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 98 (""Traitement/Acceptation de la cargaison — Vérifier la cohérence""), a different clause from `Q-7.2-006`'s ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-047,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 102, the same slide as `Q-7.2-007`'s source, deliberately testing the slide's other, distinct clause (see rat",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-048,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 99, a different clause from `Q-7.2-008`'s source (slides 98–100, the isolation/notification actions once a su",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.2-049,7.2,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.2 course, slide 105, a different slide/fact from `Q-7.2-024`'s source (slide 106, the consumer-product- warning nuance) — sli",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-001,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slides 14–17 (""Généralités"", DGR 1.0 definition), cross-checked against slides 43–44 (DGR 1.2.5/1.2.6/1.2.7), slide",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-002,7.3,FROZEN FR / SOURCE VERIFIED,§2.3.5.8.4(f),YES,YES,YES,
Q-7.3-003,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 82 (""Les classes des marchandises dangereuses DGR 3.0.2"", Classe 2 priority rule), cross-check slides 84 and ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-004,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slides 95–97 (DGR 3.10.1.1, Table 3.10.A worked example, exceptions DGR 3.10.2(a)-(f)). No direct exam/practice-boo",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-005,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 174 (""Déclaration de l'expéditeur — DGD""). No direct exam hit for this specific ""sauf 8.0.1.2"" exception clau",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-006,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 224 (""DGR 8.1.6.10"", opening slide of the 18-slide ""Vérifier la déclaration de l'expéditeur"" sequence, p.224–",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-007,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 230 (checklist points 8–12, DGR 8.1.3). Internally corroborated within the same course: the identical toleran",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-008,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slides 242–243 (""Vérifier la lettre du transport LTA"" — DGR 8.2/TACT/CSC 600(a); handling-info box wording; mixed-c",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-009,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 249 (Élément 35, checklist points 32–41 review, part of the ""Vérifier les marques"" sequence, slides 248–249).",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-010,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 251 (Éléments 45 and 48, checklist points 42–48), cross-checked against slide 257 (DGR 9.1.3.1 Notes) and sli",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-011,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 256 (DGR 9.1.3.1, opening slide of the ""Remplir la liste de contrôle pour l'acceptation"" sequence, slides 256",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-012,7.3,FROZEN FR / SOURCE VERIFIED,§9.3.2.1.3,YES,YES,YES,
Q-7.3-013,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 266 (dedicated slide, plus its own baggage/person-scope extension paragraph), repeated at slide 337. Corrobor",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-014,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 339 (""Compte rendu accidents et incidents"", Algeria/ANAC-specific reporting line — this is the radioactive-ma",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-015,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slides 21–24 (""Fondements de la Réglementation"", DGR 1.1, SCoETDG→AIEA→OACI→IATA hierarchy). No direct exam hit for ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-016,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 33 (DGR 1.2.4), cross-checked slide 32 (DGR 1.2.1, scope of applicability: IATA members/associate members, mul",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-017,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slides 34–36 (definitions + worked flammable-liquid example), cross-checked slide 37 (exercise, gasoline/essence). N",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-018,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 40 (DGR 2.1) and slide 42 (DGR 2.1.2), cross-checked slide 43 (DGR 1.2.6 Dérogation definition). No direct exa",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-019,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 60 (prevention recommendations), cross-checked slides 57–59 (DGR 2.2/2.2.4 definition, COMAT examples: chemica",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-020,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 67 (DGR 1.5), cross-checked slides 63–66 (DGR 1.3 shipper's 9-item duty wheel, DGR 1.4 operator's duty wheel, ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-021,7.3,FROZEN FR / SOURCE VERIFIED,"§2.8.3.1, §2.8.1, §2.8.3",YES,YES,YES,
Q-7.3-022,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 98 (DGR 3.0.3). Per blueprint binding caveat 5, this item is deliberately kept to the ★-level general-principl",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-023,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 228 (checklist points 1–7 review, Point n°6), cross-checked slide 227 (same review sequence, Point n°3 — AWB n",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-024,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slides 245–246 (DGR 8.3, ""Vérification des autres documents""), cross-checked slide 320 (radioactive- specific repeat",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-025,7.3,STALE CITATION / SOURCE CONFLICT,"§2.8.3.1, §2.8.4, §2.8.3.4, §2.8.3.5",YES,YES,NO,"status is STALE CITATION / SOURCE CONFLICT, not FROZEN"
Q-7.3-026,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 253 (""Vérifier le type de colis""). Exam Q25 (""4G/Z15/S/21/GB123/S232... peut-il être utilisé pour expédier 17L",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-027,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 253 (""Vérifier le type de colis""). Corroborated by Exam Q22 (1B1 fibre-drum quantity calculation for 65 kg of ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-028,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 254 (primary pass), cross-checked slide 328 (radioactive-specific repeat, same content). Per the blueprint's o",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-029,7.3,FROZEN FR / SOURCE VERIFIED,"Tier A — DGR 67th Ed. 2026 + Addendum 1, read directly this session in the authenticated Bookshelf: ""PKG-02 Toutes les étiquettes de danger doivent co",YES,YES,YES,
Q-7.3-030,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 257 (DGR 9.1.3.1 Notes), cross-checked slide 258 (9.1.3.2 ""Vérifié par/Lieu/Date/Heure/ Signature"" identificat",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-031,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slides 260 and 263 (""Planification du chargement"" / ""Fournir les renseignements...""), cross-checked slide 261 (DGR 9",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-032,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course slide 264 (DGR 9.8, primary pass), cross-checked slide 336 (radioactive-specific repeat, same content). No direct ex",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-033,7.3,FROZEN FR / SOURCE VERIFIED,§6.0.4.0.1,YES,YES,YES,
Q-7.3-034,7.3,FROZEN FR / SOURCE VERIFIED,"§7.1.5.5.3, §7.1.5.5.2(b), §7.1.5.5.1",YES,YES,YES,
Q-7.3-035,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 170 (""Apposition des étiquettes — DGR 7.2.6""), not cited by any prior batch item. No direct exam hit for this",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-036,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 171 (""Autre étiquetage""), cross-checked slide 172 (named examples: UN 3245 biological material Category B, en",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-037,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 183 (""Procédures d'urgence générales""), cross-checked slide 184 (the companion body/clothing-contact procedur",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-038,7.3,FROZEN FR / SOURCE VERIFIED,§9.5.1.1.6,YES,YES,YES,
Q-7.3-039,7.3,FR SOURCE GAP CONFIRMED,"Tier B — KOST Function 7.3 course, slide 182 (DGR 9.5.1.2), same slide range as Q-7.3-037/038 (0.6.1) but testing the distinct employer-obligation cla",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.3-040,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 265 (""Signaler les accidents et incidents impliquant des marchandises dangereuses""), the dedicated slide this",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-041,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 265, same shared slide as Q-7.3-040 (7.1) but testing the distinct **scope-extension** clause rather than the",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-042,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 248, opening slide of the ""Vérifier les marques"" sequence — distinct from slide 249 (Élément 35, net-quantity",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-043,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 250, opening slide of the ""Vérifier les étiquettes"" sequence — distinct from slide 251 (Éléments 45/48, This ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-044,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 258 (DGR 9.1.3.2 identification-fields requirement + 9.1.3.3 Table 9.1.A guide) — distinct from slide 256 (DG",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.3-045,7.3,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.3 course, slide 262 (DGR 9.3.2.1) — this slide was cited only in passing inside Batch 1's Q-7.3-012 distractor rationale (""th",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-001,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slide 18 (""Généralités"", ""Pourquoi Réglementer?""). No direct exam/practice hit for this specific historical-acciden",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-002,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slides 19–22 (""Cadre juridique"", DGR 1.1, SCoETDG→AIEA→OACI→IATA hierarchy). Corroborated at a topic level by Exam ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-003,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slide 45 (""Limites — Dispositions relatives aux passagers et au fret""), cross-checked against slide 41 (DGR 2.3) an",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-004,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slide 80 (DGR 4.2, DG list column structure A–N), cross-checked against slide 79 (""La liste des marchandises danger",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-005,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slide 63 (DGR 3.0.2, Classe 2 divisions with named examples; page index confirmed by direct single-page extraction ",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
Q-7.4-006,7.4,DRAFT — TIER A NOT YET VERIFIED,"Tier B — KOST Function 7.4 course, slide 85 (DGR 7.2.2.2, two-type statement), cross-checked against slides 86–88 (handling-label slide, biological/en",YES,YES,NO,"status is DRAFT — TIER A NOT YET VERIFIED, not FROZEN"
